2010-09-27 01:03:05,464 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47385||||40|1|132.249.69.238
2010-09-27 01:03:05,464 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47385||||40|1|132.249.69.238
2010-09-27 01:03:05,995 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47386||||||132.249.69.238
2010-09-27 01:03:05,995 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47386||||||132.249.69.238
2010-09-27 01:03:06,042 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47386||||40|1|132.249.69.238
2010-09-27 01:03:06,042 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47386||||40|1|132.249.69.238
2010-09-27 01:03:06,558 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47387||||||132.249.69.238
2010-09-27 01:03:06,558 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47387||||||132.249.69.238
2010-09-27 01:03:06,605 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47387||||40|1|132.249.69.238
2010-09-27 01:03:06,605 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47387||||40|1|132.249.69.238
2010-09-27 01:03:07,120 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47388||||||132.249.69.238
2010-09-27 01:03:07,120 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47388||||||132.249.69.238
2010-09-27 01:03:07,167 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47388||||40|1|132.249.69.238
2010-09-27 01:03:07,167 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47388||||40|1|132.249.69.238
2010-09-27 01:03:07,683 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47389||||||132.249.69.238
2010-09-27 01:03:07,683 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47389||||||132.249.69.238
2010-09-27 01:03:07,714 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47389||||39|1|132.249.69.238
2010-09-27 01:03:07,714 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47389||||39|1|132.249.69.238
2010-09-27 01:03:08,245 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47390||||||132.249.69.238
2010-09-27 01:03:08,245 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47390||||||132.249.69.238
2010-09-27 01:03:08,277 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47390||||41|1|132.249.69.238
2010-09-27 01:03:08,277 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47390||||41|1|132.249.69.238
2010-09-27 01:03:08,792 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47391||||||132.249.69.238
2010-09-27 01:03:08,792 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47391||||||132.249.69.238
2010-09-27 01:03:08,839 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47391||||40|1|132.249.69.238
2010-09-27 01:03:08,839 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47391||||40|1|132.249.69.238
2010-09-27 01:03:09,355 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47392||||||132.249.69.238
2010-09-27 01:03:09,355 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47392||||||132.249.69.238
2010-09-27 01:03:09,402 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47392||||40|1|132.249.69.238
2010-09-27 01:03:09,402 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47392||||40|1|132.249.69.238
2010-09-27 01:03:09,917 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47393||||||132.249.69.238
2010-09-27 01:03:09,917 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47393||||||132.249.69.238
2010-09-27 01:03:09,964 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47393||||40|1|132.249.69.238
2010-09-27 01:03:09,964 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47393||||40|1|132.249.69.238
2010-09-27 01:03:10,480 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47394||||||132.249.69.238
2010-09-27 01:03:10,480 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47394||||||132.249.69.238
2010-09-27 01:03:10,527 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47394||||40|1|132.249.69.238
2010-09-27 01:03:10,527 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47394||||40|1|132.249.69.238
2010-09-27 01:03:11,042 |(eddy) | HydroNEXRAD|GetSiteInfo|HydroNEXRAD:HydroNEXRAD-02-1-47395||||||132.249.69.238
