site_id     dd_nu  site_no                                            station_nm                                       state_cd                                           county_cd                                          district_cd                                        country_cd
1153058     1      13038500                                           SNAKE RIVER AT LORENZO ID                        16                                                 051                                                16                                                 US
1153072     1      13039500                                           HENRYS FORK NR LAKE ID                           16                                                 043                                                16                                                 US
1352465     2      04063700                                           POPPLE RIVER NEAR FENCE, WI                      55                                                 037                                                55                                                 US
1153222     1      13049500                                           FALLS RIVER NR CHESTER ID                        16                                                 043                                                16                                                 US
1153224     1      13050500                                           HENRYS FORK AT ST ANTHONY ID                     16                                                 043                                                16                                                 US
1153292     2      13056500                                           HENRYS FORK NR REXBURG ID                        16                                                 065                                                16                                                 US
1030963     2      02070500                                           MAYO RIVER NEAR PRICE, NC                        37                                                 157                                                37                                                 US
1031057     1      02081500                                           TAR RIVER NEAR TAR RIVER, NC                     37                                                 077                                                37                                                 US
1031090     1      02082506                                           TAR R BL TAR R RESERVOIR NR ROCKY MOUNT, NC      37                                                 127                                                37                                                 US
1031112     1      02082770                                           SWIFT CREEK AT HILLIARDSTON, NC                  37                                                 127                                                37                                                 US
1031217     2      02084557                                           VAN SWAMP NEAR HOKE, NC                          37                                                 187                                                37                                                 US
1031247     2      02085070                                           ENO RIVER NEAR DURHAM, NC                        37                                                 063                                                37                                                 US
1031267     1      02085500                                           FLAT RIVER AT BAHAMA, NC                         37                                                 063                                                37                                                 US
1031418     2      0209173190                                         UNNAMED TRIB TO SANDY RUN NEAR LIZZIE, NC        37                                                 079                                                37                                                 US
1031516     2      02094500                                           REEDY FORK NEAR GIBSONVILLE, NC                  37                                                 081                                                37                                                 US
1031517     2      02094659                                           SOUTH BUFFALO CREEK NR POMONA, NC                37                                                 081                                                37                                                 US
1031525     2      02095181                                           N BUFFALO CR AT WESTOVER TERRACE AT GREENSBORO,  37                                                 081                                                37                                                 US
1031707     2      02106500                                           BLACK RIVER NEAR TOMAHAWK, NC                    37                                                 163                                                37                                                 US
1153437     1      13068495                                           BLACKFOOT RIVER BYPASS NR BLACKFOOT ID           16                                                 011                                                16                                                 US
1153543     1      13075500                                           PORTNEUF RIVER AT POCATELLO ID                   16                                                 005                                                16                                                 US
1352655     1      04073500                                           FOX RIVER AT BERLIN, WI                          55                                                 047                                                55                                                 US
1153782     2      13087995                                           SNAKE RIVER GAGING STATION AT MILNER ID          16                                                 083                                                16                                                 US
1155560     2      13266000                                           WEISER RIVER NR WEISER ID                        16                                                 087                                                16                                                 US
1156090     1      13340000                                           CLEARWATER RIVER AT OROFINO ID                   16                                                 035                                                16                                                 US
1268884     1      01142500                                           AYERS BROOK AT RANDOLPH, VT                      50                                                 017                                                33                                                 US
801709      2      06265337                                           COTTONWOOD C AT HIGH ISLAND RNCH NR HAMILTON DOM 56                                                 017                                                56                                                 US
2182328     2      06306200                                           PRAIRIE DOG CR AT WAKELEY SIDING, NR SHERIDAN, W 56                                                 033                                                56                                                 US
1607103     1      06306250                                           PRAIRIE DOG CREEK NEAR ACME, WY                  56                                                 033                                                56                                                 US
801844      1      06299980                                           TONGUE RIVER AT MONARCH, WY                      56                                                 033                                                56                                                 US
2223346     2      50011180                                           CANAL DE AGUADILLA ABV LAGO RAMEY, AGUADILLA PR  72                                                 005                                                72                                                 US
773         24     08074000                                           Buffalo Bayou at Houston, TX                     48                                                 201                                                48                                                 US
801807      2      06285100                                           SHOSHONE RIVER NEAR LOVELL, WY                   56                                                 003                                                56                                                 US
188986      2      01636690                                           PINEY RUN NEAR LOVETTSVILLE, VA                  51                                                 107                                                51                                                 US
1268903     1      01152500                                           SUGAR RIVER AT WEST CLAREMONT, NH                33                                                 019                                                33                                                 US
1412771     2      06334500                                           LITTLE MISSOURI R AT CAMP CROOK,SD               46                                                 063                                                46                                                 US
1412871     2      06406500                                           BATTLE CR BELOW HERMOSA,SD                       46                                                 103                                                46                                                 US
1412883     2      06407500                                           SPRING CR NEAR KEYSTONE,SD                       46                                                 103                                                46                                                 US
1412969     1      06430500                                           REDWATER CR AT WY-SD STATE LINE                  46                                                 019                                                46                                                 US
1413109     1      06448000                                           LAKE CR ABOVE REFUGE NEAR TUTHILL,SD             46                                                 007                                                46                                                 US
1413228     1      06477500                                           FIRESTEEL CR NEAR MOUNT VERNON,SD                46                                                 035                                                46                                                 US
231486      2      07189540                                           Cave Springs Branch near South West City, MO     40                                                 041                                                40                                                 US
92252       5      06862700                                           SMOKY HILL R NR SCHOENCHEN, KS                   20                                                 051                                                20                                                 US
2184688     2      06893100                                           BLUE R AT KENNETH RD, OVERLAND PARK, KS          20                                                 091                                                20                                                 US
2184689     3      06893390                                           INDIAN C AT STATE LINE RD, LEAWOOD, KS           20                                                 091                                                20                                                 US
1352666     1      04074538                                           SWAMP CREEK ABOVE RICE LAKE AT MOLE LAKE, WI     55                                                 041                                                55                                                 US
1268930     2      01154500                                           CONNECTICUT RIVER AT NORTH WALPOLE, NH           33                                                 005                                                33                                                 US
344610      2      06710605                                           BEAR CREEK ABOVE BEAR CREEK LAKE NEAR MORRISON,  08                                                 059                                                08                                                 US
345310      2      09037500                                           WILLIAMS FORK NEAR PARSHALL, CO.                 08                                                 049                                                08                                                 US
345336      1      09046490                                           BLUE RIVER AT BLUE RIVER, CO.                    08                                                 117                                                08                                                 US
345358      4      09050700                                           BLUE RIVER BELOW DILLON, CO.                     08                                                 117                                                08                                                 US
1982081     2      09061600                                           EAST FORK EAGLE RIVER NEAR CLIMAX, CO            08                                                 037                                                08                                                 US
345399      7      09063000                                           EAGLE RIVER AT RED CLIFF, CO.                    08                                                 037                                                08                                                 US
345598      1      09112500                                           EAST RIVER AT ALMONT CO.                         08                                                 051                                                08                                                 US
345661      2      09134100                                           NORTH FORK GUNNISON RIVER BELOW PAONIA, CO       08                                                 029                                                08                                                 US
345690      1      09144250                                           GUNNISON RIVER AT DELTA, CO.                     08                                                 029                                                08                                                 US
1268955     1      01158000                                           ASHUELOT RIVER BELOW SURRY MT DAM, NEAR KEENE, N 33                                                 005                                                33                                                 US
449150      1      10172700                                           VERNON CREEK NEAR VERNON, UT                     49                                                 045                                                49                                                 US
801776      5      06279500                                           BIGHORN RIVER AT KANE, WY                        56                                                 003                                                56                                                 US
801785      1      06280300                                           SOUTH FORK SHOSHONE RIVER NEAR VALLEY, WY        56                                                 029                                                56                                                 US
801863      1      06305700                                           GOOSE CREEK NEAR ACME, WY                        56                                                 033                                                56                                                 US
801907      2      06313500                                           POWDER RIVER AT SUSSEX, WY                       56                                                 019                                                56                                                 US
1503933     2      06426130                                           DONKEY CREEK NEAR GILLETTE, WY                   56                                                 005                                                56                                                 US
1995092     2      06429500                                           COLD SPRINGS CREEK AT BUCKHORN, WY               56                                                 045                                                56                                                 US
802085      2      06630000                                           N PLATTE RIV AB SEMINOE RESERVOIR, NR SINCLAIR,  56                                                 007                                                56                                                 US
802125      1      06635000                                           MEDICINE BOW R AB SEMINOE RESERVOIR, NR HANNA, W 56                                                 007                                                56                                                 US
802235      1      06652800                                           NORTH PLATTE RIVER BELOW GLENDO RESERVOIR, WY    56                                                 031                                                56                                                 US
802320      5      06674500                                           NORTH PLATTE RIVER AT WYOMING-NEBRASKA STATE LIN 56                                                 015                                                56                                                 US
802437      2      09216050                                           BIG SANDY RIVER AT GASSON BRIDGE, NR EDEN, WY    56                                                 037                                                56                                                 US
802469      7      09217000                                           GREEN RIVER NEAR GREEN RIVER, WY                 56                                                 037                                                56                                                 US
802498      7      09224700                                           BLACKS FORK NEAR LITTLE AMERICA, WY              56                                                 037                                                56                                                 US
2193440     1      09258980                                           MUDDY CREEK BELOW YOUNG DRAW, NEAR BAGGS, WY     56                                                 007                                                56                                                 US
802541      1      10016900                                           BEAR RIVER AT EVANSTON, WY                       56                                                 041                                                56                                                 US
1031763     2      02111500                                           REDDIES RIVER AT NORTH WILKESBORO, NC            37                                                 193                                                37                                                 US
1616575     11     03447687                                           FRENCH BROAD RIVER NEAR FLETCHER, NC             37                                                 089                                                37                                                 US
19435       1      09428505                                           GARDNER LATERAL SPILL NEAR PARKER, AZ            04                                                 012                                                04                                                 US
19653       1      09482000                                           SANTA CRUZ RIVER AT CONTINENTAL, AZ              04                                                 019                                                04                                                 US
19667       3      09482500                                           SANTA CRUZ RIVER AT TUCSON, AZ                   04                                                 019                                                04                                                 US
19715       8      09486500                                           SANTA CRUZ RIVER AT CORTARO, AZ                  04                                                 019                                                04                                                 US
171992      1      09416000                                           MUDDY R NR MOAPA, NV                             32                                                 003                                                32                                                 US
188952      1      01634500                                           CEDAR CREEK NEAR WINCHESTER, VA                  51                                                 069                                                51                                                 US
1154606     2      13154500                                           SNAKE RIVER AT KING HILL ID                      16                                                 039                                                16                                                 US
2201569     1      15302250                                           NF KOKTULI R NR ILIAMNA AK                       02                                                 164                                                02                                                 US
147703      2      01460880                                           Lockatong Creek at Raven Rock NJ                 34                                                 019                                                34                                                 US
147711      2      01461300                                           Wickecheoke Creek at Stockton NJ                 34                                                 019                                                34                                                 US
1154547     1      13148500                                           LITTLE WOOD RIVER NR CAREY ID                    16                                                 013                                                16                                                 US
1154795     1      13168500                                           BRUNEAU RIVER NR HOT SPRING ID                   16                                                 073                                                16                                                 US
1353864     2      05430500                                           ROCK RIVER AT AFTON, WI                          55                                                 105                                                55                                                 US
1353991     2      05545750                                           FOX RIVER NEAR NEW MUNSTER, WI                   55                                                 059                                                55                                                 US
1093        1      08104100                                           Lampasas Rv nr Belton, TX                        48                                                 027                                                48                                                 US
1152902     1      13011900                                           BUFFALO FORK AB LAVA CREEK NR MORAN WY           56                                                 039                                                16                                                 US
1153251     1      13052200                                           TETON RIVER AB SOUTH LEIGH CREEK NR DRIGGS ID    16                                                 081                                                16                                                 US
344572      1      06700000                                           SOUTH PLATTE RIVER ABOVE CHEESMAN LAKE, CO.      08                                                 035                                                08                                                 US
2207883     2      11106550                                           CALLEGUAS C NR CAMARILLO CA                      06                                                 111                                                06                                                 US
862905      2      02387600                                           OOTHKALOOGA CREEK AT GA 53 SPUR, AT CALHOUN, GA  13                                                 129                                                13                                                 US
2237940     2      01571184                                           Mountain Creek near Pine Grove Furnace, PA       42                                                 041                                                42                                                 US
2237938     2      01439590                                           Little Bush Kill at Edgemere, PA                 42                                                 103                                                42                                                 US
417         1      08049500                                           W Fk Trinity Rv at Grand Prairie, TX             48                                                 113                                                48                                                 US
1413311     1      06482000                                           BIG SIOUX R AT SIOUX FALLS SD                    46                                                 099                                                46                                                 US
1821955     5      03007800                                           Allegheny River at Port Allegany, PA             42                                                 083                                                42                                                 US
1352670     1      04074548                                           SWAMP CREEK BELOW RICE LAKE AT MOLE LAKE, WI     55                                                 041                                                55                                                 US
1270385     1      04280000                                           POULTNEY RIVER BELOW FAIR HAVEN, VT              50                                                 021                                                33                                                 US
1352990     2      04087000                                           MILWAUKEE RIVER AT MILWAUKEE, WI                 55                                                 079                                                55                                                 US
1552885     2      09414900                                           BEAVER DAM WASH AT BEAVER DAM, AZ                04                                                 015                                                32                                                 US
172429      1      10311200                                           ASH CANYON CK NR CARSON CITY, NV                 32                                                 510                                                32                                                 US
172519      2      10315600                                           MARYS RIVER BLW TWIN BUTTES NR DEETH, NV         32                                                 007                                                32                                                 US
172536      1      10318500                                           HUMBOLDT R NR ELKO, NV                           32                                                 007                                                32                                                 US
172611      1      10325000                                           HUMBOLDT R AT BATTLE MOUNTAIN, NV                32                                                 015                                                32                                                 US
172777      2      10336775                                           TROUT CK AT PIONEER TRAIL NR SOUTH LAKE TAHOE CA 06                                                 017                                                32                                                 US
172876      1      10348850                                           GALENA C AT GALENA C STATE PARK                  32                                                 031                                                32                                                 US
173082      2      13175100                                           OWYHEE R NR MOUNTAIN CITY, NV                    32                                                 007                                                32                                                 US
1352510     1      04069500                                           PESHTIGO RIVER AT PESHTIGO, WI                   55                                                 075                                                55                                                 US
873661      1      16226200                                           N. Halawa Str nr Honolulu, Oahu, HI              15                                                 003                                                15                                                 US
1956146     1      09484550                                           CIENEGA CREEK NEAR SONOITA, AZ.                  04                                                 019                                                04                                                 US
171974      2      09415460                                           WHITE R NR RED MTN NR PRESTON NV                 32                                                 033                                                32                                                 US
172062      2      094196781                                          FLAMINGO WASH AT NELLIS BLVD NR LAS VEGAS, NV    32                                                 003                                                32                                                 US
172126      1      10243700                                           CLEVE C NR ELY, NV                               32                                                 033                                                32                                                 US
172363      2      10309000                                           EAST FORK CARSON RIVER NEAR GARDNERVILLE, NV     32                                                 005                                                32                                                 US
172421      1      10310500                                           CLEAR CREEK NEAR CARSON CITY, NV                 32                                                 005                                                32                                                 US
172437      2      10311700                                           CARSON RIVER AT DAYTON, NV                       32                                                 019                                                32                                                 US
172513      2      10313400                                           MARYS RIVER BELOW ORANGE BRIDGE NR CHARLESTON NV 32                                                 007                                                32                                                 US
172526      1      10316500                                           LAMOILLE C NR LAMOILLE, NV                       32                                                 007                                                32                                                 US
172545      2      10319900                                           S FK HUMBOLDT R ABV TENMILE CK NR ELKO, NV       32                                                 007                                                32                                                 US
172832      2      10347460                                           TRUCKEE RIVER NR MOGUL, NV                       32                                                 031                                                32                                                 US
172894      1      10349495                                           STEAMBOAT CK AT GEIGER GD NR STEAMBOAT, NV       32                                                 031                                                32                                                 US
1955480     2      01329490                                           BATTEN KILL BELOW MILL AT BATTENVILLE NY         36                                                 115                                                36                                                 US
1353310     1      05379500                                           TREMPEALEAU RIVER AT DODGE, WI                   55                                                 121                                                55                                                 US
188847      1      01626000                                           SOUTH RIVER NEAR WAYNESBORO, VA                  51                                                 820                                                51                                                 US
171999      1      09417500                                           MEADOW VLY WASH AT EAGLE CANYON NR URSINE, NV    32                                                 017                                                32                                                 US
1179344     15     12089500                                           NISQUALLY RIVER AT MCKENNA, WA                   53                                                 067                                                53                                                 US
2194791     2      02142914                                           GUM BRANCH NEAR THRIFT, NC                       37                                                 119                                                37                                                 US
1353414     1      05397500                                           EAU CLAIRE RIVER AT KELLY, WI                    55                                                 073                                                55                                                 US
172331      2      10301745                                           WALKER R ABV LITTLE DAM NR SCHURZ, NV            32                                                 021                                                32                                                 US
1872016     4      02487500                                           STRONG RIVER AT D`LO, MS                         28                                                 127                                                28                                                 US
2212437     2      04231600                                           GENESEE RIVER AT FORD STREET BRIDGE, ROCHESTER N 36                                                 055                                                36                                                 US
172747      1      10336730                                           GLENBROOK CK AT GLENBROOK, NV                    32                                                 005                                                32                                                 US
1871503     4      02472500                                           BOUIE CREEK NR HATTIESBURG, MS                   28                                                 035                                                28                                                 US
146483      2      01390450                                           Saddle River at Upper Saddle River NJ            34                                                 003                                                34                                                 US
2227261     2      04021520                                           STONEY BROOK AT PINE DRIVE NEAR BROOKSTON, MN    27                                                 137                                                27                                                 US
2227290     2      05590050                                           COPPER SLOUGH AT CHAMPAIGN, IL                   17                                                 019                                                17                                                 US
1152727     1      12411000                                           NF COEUR D ALENE R AB SHOSHONE CK NR PRICHARD ID 16                                                 079                                                16                                                 US
1982719     1      01671025                                           NORTH ANNA RIVER ABOVE LITTLE RIVER NR DOSWELL,  51                                                 085                                                51                                                 US
232299      1      07329849                                           01S-03E-01 ABB 1 Antelope Spring at Sulphur, OK  40                                                 099                                                40                                                 US
2227521     2      10243224                                           BIG SPRINGS CK SOUTH CHANNEL NR BAKER NV         32                                                 033                                                32                                                 US
2227522     2      102432241                                          BIG SPRINGS CK NORTH CHANNEL NR BAKER NV         32                                                 033                                                32                                                 US
862857      2      02383500                                           COOSAWATTEE RIVER NEAR PINE CHAPEL, GA           13                                                 129                                                13                                                 US
1266238     6      01010000                                           St. John River at Ninemile Bridge, Maine         23                                                 003                                                23                                                 US
1266239     4      01010070                                           Big Black River near Depot Mtn, Maine            23                                                 003                                                23                                                 US
1266245     5      01010500                                           St. John River at Dickey, Maine                  23                                                 003                                                23                                                 US
1266247     6      01011000                                           Allagash River near Allagash, Maine              23                                                 003                                                23                                                 US
1266268     3      01014000                                           St. John River below Fish R, at Fort Kent, Maine 90                                                 000                                                23                                                 CN
1266284     1      01017000                                           Aroostook River at Washburn, Maine               23                                                 003                                                23                                                 US
1266312     1      01018500                                           St. Croix River at Vanceboro, Maine              23                                                 029                                                23                                                 US
1266315     2      01019000                                           Grand Lake Stream at Grand Lake Stream, Maine    23                                                 029                                                23                                                 US
1266323     4      01021000                                           St. Croix River at Baring, Maine                 23                                                 029                                                23                                                 US
1506335     2      01021470                                           Libby Brook near Northfield, Maine               23                                                 029                                                23                                                 US
1954930     2      01027200                                           North Branch Penobscot River nr Pittston Farm, M 23                                                 025                                                23                                                 US
1266384     2      01029200                                           Seboeis River near Shin Pond, Maine              23                                                 019                                                23                                                 US
1266387     1      01029500                                           East Branch Penobscot River at Grindstone, Maine 23                                                 019                                                23                                                 US
1266397     2      01031450                                           Kingsbury Stream at Abbot Village, Maine         23                                                 021                                                23                                                 US
1266398     4      01031500                                           Piscataquis River near Dover-Foxcroft, Maine     23                                                 021                                                23                                                 US
1266405     1      01034000                                           Piscataquis River at Medford, Maine              23                                                 021                                                23                                                 US
1266407     2      01034500                                           Penobscot River at West Enfield, Maine           23                                                 019                                                23                                                 US
1266426     2      01038000                                           Sheepscot River at North Whitefield, Maine       23                                                 015                                                23                                                 US
1266451     4      01047000                                           Carrabassett River near North Anson, Maine       23                                                 025                                                23                                                 US
