site_id     dd_nu  site_no                                            station_nm                                       state_cd                                           county_cd                                          district_cd                                        country_cd
19185       1      09392000                                           SHOW LOW CR BL JAQUES DAM, NR SHOW LOW, AZ       04                                                 017                                                04                                                 US
19215       1      09397500                                           CHEVELON FORK BELOW WILDCAT CANYON, NR WINSLOW,  04                                                 017                                                04                                                 US
19258       2      09401110                                           DINNEBITO WASH NEAR SAND SPRINGS, AZ             04                                                 017                                                04                                                 US
19284       1      09402300                                           LITTLE COLORADO RIVER ABV MOUTH NR DESERT VIEW,  04                                                 005                                                04                                                 US
19351       2      09404208                                           DIAMOND CREEK NEAR PEACH SPRINGS, AZ             04                                                 015                                                04                                                 US
19355       1      09404222                                           SPENCER CREEK NEAR PEACH SPRINGS, AZ             04                                                 015                                                04                                                 US
19406       1      09424450                                           BIG SANDY RIVER NEAR WIKIEUP, AZ                 04                                                 015                                                04                                                 US
19430       1      09428500                                           CRIR MAIN CANAL NR PARKER, AZ                    04                                                 012                                                04                                                 US
19436       1      09428508                                           UPPER MAIN DRAIN NEAR POSTON, AZ                 04                                                 012                                                04                                                 US
19450       1      09429030                                           PALO VERDE DRAIN NR PARKER, AZ                   04                                                 012                                                04                                                 US
19451       1      09429060                                           CRIR LOWER MAIN DRAIN NEAR PARKER, AZ            04                                                 012                                                04                                                 US
19477       1      09429180                                           PVID D23 SPILL NEAR BLYTHE, CA.                  06                                                 065                                                04                                                 US
19486       1      09429200                                           PVID C CANAL SPILL NR BLYTHE, CA.                06                                                 025                                                04                                                 US
19506       1      09429500                                           COLORADO RIVER BELOW IMPERIAL DAM, AZ-CA         06                                                 025                                                04                                                 US
19517       1      09442000                                           GILA RIVER NEAR CLIFTON, AZ.                     04                                                 011                                                04                                                 US
19522       1      09444200                                           BLUE RIVER NEAR CLIFTON, AZ.                     04                                                 011                                                04                                                 US
19524       1      09444500                                           SAN FRANCISCO RIVER AT CLIFTON, AZ.              04                                                 011                                                04                                                 US
19534       1      09447000                                           EAGLE CREEK ABOVE PUMPING PLANT, NEAR MORENCI, A 04                                                 011                                                04                                                 US
19562       1      09466500                                           GILA RIVER AT CALVA, AZ.                         04                                                 009                                                04                                                 US
19644       1      09480500                                           SANTA CRUZ RIVER NEAR NOGALES, AZ.               04                                                 023                                                04                                                 US
19706       1      09486055                                           RILLITO CREEK AT LA CHOLLA BLVD NEAR TUCSON, AZ. 04                                                 019                                                04                                                 US
19718       15     09486520                                           SANTA CRUZ RIVER AT TRICO ROAD, NR MARANA, AZ.   04                                                 019                                                04                                                 US
19804       5      09502900                                           DEL RIO SPRINGS NEAR CHINO VALLEY, AZ            04                                                 025                                                04                                                 US
19927       2      09514100                                           GILA RIVER AT ESTRELLA PARKWAY, NEAR GOODYEAR, A 04                                                 013                                                04                                                 US
20022       2      09526200                                           YPSILANTI CANAL NR WINTERHAVEN, CA               06                                                 025                                                04                                                 US
2489831     2      02358001                                           APALACHICOLA RIVER AT CHATTAHOOCHEE AUXILIARY    12                                                 039                                                123                                                US
2204043     2      02390475                                           LONG SWAMP CREEK AT REAVIS MTN RD, NR NELSON, GA 13                                                 057                                                13                                                 US
1979275     2      02355662                                           FLINT RIVER AT RIVERVIEW PLANTATION, NR HOPEFUL, 13                                                 205                                                13                                                 US
92253       4      06862850                                           SMOKY HILL R BL SCHOENCHEN, KS                   20                                                 051                                                20                                                 US
92332       1      06874000                                           SF SOLOMON R AT OSBORNE, KS                      20                                                 141                                                20                                                 US
92573       3      07138020                                           ARKANSAS R AT KENDALL, KS                        20                                                 075                                                20                                                 US
92577       2      07138063                                           SOUTHSIDE DITCH NR LAKIN, KS                     20                                                 093                                                20                                                 US
92599       4      07140850                                           PAWNEE R NR BURDETT, KS                          20                                                 083                                                20                                                 US
92602       2      07141175                                           BUCKNER C NR BURDETT, KS                         20                                                 083                                                20                                                 US
92645       5      07143375                                           ARKANSAS R NR MAIZE, KS                          20                                                 173                                                20                                                 US
92806       7      07151500                                           CHIKASKIA R NR CORBIN, KS                        20                                                 191                                                20                                                 US
146181      2      01379500                                           Passaic River near Chatham NJ                    34                                                 027                                                34                                                 US
146264      1      01380500                                           Rockaway River above Reservoir at Boonton NJ     34                                                 027                                                34                                                 US
146267      1      01381000                                           Rockaway River below Reservoir at Boonton NJ     34                                                 027                                                34                                                 US
171104      2      50027000                                           RIO LIMON ABV LAGO DOS BOCAS, PR                 72                                                 141                                                72                                                 US
171345      4      50050900                                           RIO GRANDE DE LOIZA AT QUEBRADA ARENAS, PR       72                                                 129                                                72                                                 US
171352      4      50051310                                           RIO CAYAGUAS AT CERRO GORDO, PR                  72                                                 129                                                72                                                 US
171416      4      50061800                                           RIO CANOVANAS NR CAMPO RICO, PR                  72                                                 087                                                72                                                 US
171470      1      50071000                                           RIO FAJARDO NR FAJARDO, PR                       72                                                 053                                                72                                                 US
171577      1      50106100                                           RIO COAMO AT HWY 14 AT COAMO, PR                 72                                                 043                                                72                                                 US
171730      1      50136400                                           RIO ROSARIO NR HORMIGUEROS, PR                   72                                                 067                                                72                                                 US
171733      1      50138000                                           RIO GUANAJIBO NR HORMIGUEROS, PR                 72                                                 067                                                72                                                 US
172017      1      09419000                                           MUDDY R NR GLENDALE, NV                          32                                                 003                                                32                                                 US
172078      2      09419700                                           LAS VEGAS WASH AT PABCO RD NR HENDERSON, NV      32                                                 003                                                32                                                 US
172121      1      10243260                                           LEHMAN CREEK NEAR BAKER, NV                      32                                                 033                                                32                                                 US
172288      5      10293000                                           E WALKER R NR BRIDGEPORT, CA                     06                                                 051                                                32                                                 US
172301      4      10296000                                           W WALKER R BLW L WALKER R NR COLEVILLE, CA       06                                                 051                                                32                                                 US
172352      2      10308200                                           E F CARSON R BL MARKLEEVILLE C NR MARKLEEVILLECA 06                                                 003                                                32                                                 US
172394      4      10310000                                           WEST FORK CARSON RIVER AT WOODFORDS, CA          06                                                 003                                                32                                                 US
172424      1      10311000                                           CARSON RIVER NEAR CARSON CITY, NV                32                                                 510                                                32                                                 US
172584      3      10322500                                           HUMBOLDT R AT PALISADE, NV                       32                                                 011                                                32                                                 US
172634      1      10329500                                           MARTIN C NR PARADISE VALLEY, NV                  32                                                 013                                                32                                                 US
172643      1      10333000                                           HUMBOLDT R NR IMLAY, NV                          32                                                 027                                                32                                                 US
172648      2      10335000                                           HUMBOLDT R NR RYE PATCH, NV                      32                                                 027                                                32                                                 US
172703      2      10336610                                           UPPER TRUCKEE RIVER AT SOUTH LAKE TAHOE CALIF    06                                                 017                                                32                                                 US
1353731     5      05427085                                           ROCK RIVER AT ROBERT STREET AT FORT ATKINSON, WI 55                                                 055                                                55                                                 US
172849      1      10348000                                           TRUCKEE R AT RENO,NV                             32                                                 031                                                32                                                 US
172981      2      10351650                                           TRUCKEE R AT WADSWORTH, NV                       32                                                 031                                                32                                                 US
173039      2      10352500                                           MCDERMITT C NR MCDERMITT NV                      32                                                 013                                                32                                                 US
173079      1      13174500                                           OWYHEE R NR GOLD CREEK, NV                       32                                                 007                                                32                                                 US
2489441     2      10260470                                           LITTLE BEAR C AB LK ARROWHEAD A LAKE ARROWHEAD C 06                                                 071                                                06                                                 US
2208152     1      11153000                                           PACHECO C NR DUNNEVILLE CA                       06                                                 085                                                06                                                 US
188752      1      01613900                                           HOGUE CREEK NEAR HAYFIELD, VA                    51                                                 069                                                51                                                 US
197370      2      07348700                                           Bayou Dorcheat near Springhill, LA               22                                                 119                                                22                                                 US
197463      1      07351750                                           Bayou Pierre near Lake End, LA                   22                                                 069                                                22                                                 US
197585      2      07364200                                           Bayou Bartholomew near Jones, LA                 22                                                 067                                                22                                                 US
197618      2      07366200                                           Little Corney Bayou near Lillie, LA              22                                                 111                                                22                                                 US
